"","mfcc1","mfcc2","index2","index1"
"1",16.8235018063077,59.0902324429208,1,1
"2",-6.73881705372258,36.5719109335195,2,2
"3",6.40470232795296,41.9872297847532,3,3
"4",-3.67299301052853,41.9872297847532,3,3
"5",-18.8323486939528,7.34129403381868,4,4
"6",-15.9198044926674,40.4819382659646,5,5
"7",-15.9198044926674,22.3270222778793,6,6
"8",-30.7522508039494,10.631267905632,7,7
"9",-29.6096731036585,17.2880549089938,8,8
"10",-29.6096731036585,8.01392693377259,9,9
"11",14.7350827841803,73.4806615180707,10,10
"12",0.374616819815038,37.5697886944652,11,11
"13",-6.38321172542389,37.5697886944652,11,11
"14",-29.0100438196932,19.6256306688362,12,12
"15",9.35861110794935,44.261028410243,13,13
