subject_id,subject_language,18-29yrs,30-39yrs,40-49yrs,50-59yrs,60-69yrs,more_than_69yrs,handedness_L,handedness_R,french_native,french_non_native,lang_other_target_no,lang_other_target_yes,other_lang_na,other_lang_na2,other_lang_native,other_lang_bcpdexp,other_lang_assezdexp,other_lang_unpeudexp,other_lang_trespeudexp,other_lang_comp_na,other_lang_comp_na2,other_lang_comp_native,other_lang_presque_native,other_lang_avancee,other_lang_intermediare,other_lang_debutant,hear_vis_problems_yes,hear_vis_problems_no,troubles_de_lang_yes,troubles_de_lang_no,ling_course_yes,ling_course_no,phonet_course_yes,phonet_course_no,phonog_course_yes,phonog_course_no
X_YNDSGKTRWQ,eng,1,0,0,0,0,0,0,1,,,0.0,1,0,,0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_DIWNKZUABP,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_XUDJNQOKPB,eng,0,1,0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_HFBDMSOJIQ,eng,1,0,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_TEIAYJQVWD,eng,0,1,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_LYNRJZOKTD,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_SIZPBMUGQR,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_UNLMPXIBTO,eng,0,1,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_IGZVPXWCUO,eng,1,0,0,0,0,0,0,1,,,1.0,0,0,,1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
X_IGZVPXWCUO,eng,1,0,0,0,0,0,0,1,,,1.0,0,0,,1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
X_FUZXWEYBTG,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_CXWEFJKVMB,eng,1,0,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_FMCRSQKIXY,eng,1,0,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_GNWJLPMTDV,eng,0,0,1,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_QSVOEGXINT,eng,1,0,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_MGRCZVJEHK,eng,0,0,1,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_PKWUARXSQD,eng,1,0,0,0,0,0,1,0,,,0.0,1,0,,0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
X_QHDWTONPZL,eng,1,0,0,0,0,0,1,0,,,0.0,1,0,,0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_JRVQALMGFC,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
X_JWXNBSRPMC,eng,0,0,0,1,0,0,1,0,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_OKNUIYDEPA,eng,1,0,0,0,0,0,1,0,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
X_RBSZECIGDN,eng,0,1,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_YIECJQMKSB,eng,0,1,0,0,0,0,0,1,,,1.0,0,0,,1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_ASVWHXGDFQ,eng,0,0,1,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_QZDMBTYNGK,eng,0,0,0,0,1,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_VAMSBDUGZW,eng,0,0,0,1,0,0,1,0,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_EYHGLSPTKI,eng,0,0,1,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_OVEYAZDHPC,eng,1,0,0,0,0,0,1,0,,,1.0,0,0,,1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_ZSIPLDBTOF,eng,0,0,0,1,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_GZHADXOIMR,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_UPRWKOJLGT,eng,0,0,0,1,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_HEXAPQTRNS,eng,1,0,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_SZTEXPBCIO,eng,1,0,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_NYFGLWTEPO,eng,1,0,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_JBYNULWKEF,eng,0,0,0,1,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_IMSYHRZVQE,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_TMOHADFKVL,eng,0,1,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_RBADOUWFGX,eng,0,1,0,0,0,0,1,0,,,0.0,1,0,,1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
X_QABFWVJOZK,eng,0,0,1,0,0,0,0,1,,,0.0,1,0,,1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
