Bilingual_spk_eng,Bilingual_spk_fr,Context,Mono_spk,Order,Vowel_eng,Vowel_fr,tripletid,Corr_ans,File_A,File_B,File_X,Stimulus_A,Stimulus_B,Stimulus_X
maureen,veronique,V_Z,ewan,EFE,AE,OE,triplet41,A,maureen_eng_54,veronique_fr_145,ewan_eng_61,VAEZ,VOEZ,VAEZ
maureen,veronique,V_SH,remi,EFF,IH,E,triplet42,B,maureen_eng_236,veronique_fr_64,remi_fr_65,VIHSH,VESH,VESH
veronique,maureen,V_G,jeremy,FEE,IH,I,triplet43,B,maureen_fr_81,veronique_eng_215,jeremy_eng_226,VIG,VIHG,VIHG
veronique,maureen,Z_F,remi,FEF,IH,I,triplet44,A,maureen_fr_104,veronique_eng_219,remi_fr_99,ZIF,ZIHF,ZIF
veronique,maureen,V_G,jeremy,EFE,UH,U,triplet45,A,veronique_eng_16,maureen_fr_16,jeremy_eng_16,VUHG,VUG,VUHG
maureen,veronique,Z_F,marc,EFF,AE,Y,triplet46,B,maureen_eng_50,veronique_fr_113,marc_fr_108,ZAEF,ZYF,ZYF
veronique,maureen,S_G,jeremy,FEE,AH,A,triplet47,B,maureen_fr_222,veronique_eng_67,jeremy_eng_70,SAG,SAHG,SAHG
veronique,maureen,Z_F,remi,FEF,AH,A,triplet48,A,maureen_fr_169,veronique_eng_104,remi_fr_161,ZAF,ZAHF,ZAF
veronique,maureen,Z_S,ewan,EFE,AH,O,triplet49,A,veronique_eng_93,maureen_fr_153,ewan_eng_98,ZAHS,ZOS,ZAHS
veronique,maureen,Z_S,marc,EFF,AH,A,triplet50,B,veronique_eng_93,maureen_fr_168,marc_fr_158,ZAHS,ZAS,ZAS
maureen,veronique,Z_F,ewan,FEE,AE,U,triplet51,B,veronique_fr_21,maureen_eng_50,ewan_eng_51,ZUF,ZAEF,ZAEF
maureen,veronique,SH_S,remi,FEF,AH,U,triplet52,A,veronique_fr_31,maureen_eng_117,remi_fr_30,SHUS,SHAHS,SHUS
veronique,maureen,Z_G,ewan,EFE,UH,OE,triplet53,A,veronique_eng_3,maureen_fr_183,ewan_eng_3,ZUHG,ZOEG,ZUHG
veronique,maureen,Z_V,marc,EFF,AE,I,triplet54,B,veronique_eng_49,maureen_fr_106,marc_fr_97,ZAEV,ZIV,ZIV
veronique,maureen,V_K,jeremy,FEE,AH,U,triplet55,B,maureen_fr_15,veronique_eng_72,jeremy_eng_74,VUK,VAHK,VAHK
veronique,maureen,F_P,marc,FEF,UH,O,triplet56,A,maureen_fr_205,veronique_eng_8,marc_fr_199,FOP,FUHP,FOP
maureen,veronique,Z_D,ewan,EFE,AH,Y,triplet57,A,maureen_eng_68,veronique_fr_83,ewan_eng_69,ZAHD,ZYD,ZAHD
maureen,veronique,V_G,marc,EFF,AH,U,triplet58,B,maureen_eng_76,veronique_fr_16,marc_fr_11,VAHG,VUG,VUG
veronique,maureen,V_B,jeremy,FEE,AE,OE,triplet59,B,maureen_fr_198,veronique_eng_43,jeremy_eng_46,VOEB,VAEB,VAEB
veronique,maureen,V_P,remi,FEF,AH,Y,triplet60,A,maureen_fr_96,veronique_eng_86,remi_fr_91,VYP,VAHP,VYP
veronique,maureen,SH_V,jeremy,EFE,AH,E,triplet61,A,veronique_eng_115,maureen_fr_65,jeremy_eng_119,SHAHV,SHEV,SHAHV
maureen,veronique,V_Z,remi,EFF,AE,O,triplet62,B,maureen_eng_54,veronique_fr_157,remi_fr_156,VAEZ,VOZ,VOZ
maureen,veronique,Z_F,jeremy,FEE,UH,OE,triplet63,B,veronique_fr_132,maureen_eng_21,jeremy_eng_21,ZOEF,ZUHF,ZUHF
maureen,veronique,V_B,marc,FEF,IH,A,triplet64,A,veronique_fr_215,maureen_eng_227,marc_fr_215,VAB,VIHB,VAB
maureen,veronique,Z_F,jeremy,EFE,AE,E,triplet65,A,maureen_eng_50,veronique_fr_52,jeremy_eng_50,ZAEF,ZEF,ZAEF
veronique,maureen,S_G,marc,EFF,UH,O,triplet66,B,veronique_eng_6,maureen_fr_204,marc_fr_198,SUHG,SOG,SOG
veronique,maureen,V_B,ewan,FEE,UH,I,triplet67,B,maureen_fr_82,veronique_eng_17,ewan_eng_17,VIB,VUHB,VUHB
maureen,veronique,Z_S,marc,FEF,AE,U,triplet68,A,veronique_fr_20,maureen_eng_49,marc_fr_15,ZUS,ZAES,ZUS
maureen,veronique,Z_S,ewan,EFE,AE,I,triplet69,A,maureen_eng_49,veronique_fr_99,ewan_eng_50,ZAES,ZIS,ZAES
veronique,maureen,F_P,remi,EFF,AH,Y,triplet70,B,veronique_eng_68,maureen_fr_90,remi_fr_86,FAHP,FYP,FYP
maureen,veronique,V_K,jeremy,FEE,AE,E,triplet71,B,veronique_fr_46,maureen_eng_44,jeremy_eng_44,VEK,VAEK,VAEK
veronique,maureen,S_F,remi,FEF,UH,U,triplet72,A,maureen_fr_26,veronique_eng_24,remi_fr_25,SUF,SUHF,SUF
veronique,maureen,V_F,ewan,EFE,UH,A,triplet73,A,veronique_eng_32,maureen_fr_179,ewan_eng_35,VUHF,VAF,VUHF
maureen,veronique,V_B,remi,EFF,AE,U,triplet74,B,maureen_eng_46,veronique_fr_17,remi_fr_17,VAEB,VUB,VUB
veronique,maureen,SH_B,ewan,FEE,UH,E,triplet75,B,maureen_fr_43,veronique_eng_13,ewan_eng_13,SHEB,SHUHB,SHUHB
veronique,maureen,SH_B,marc,FEF,AE,A,triplet76,A,maureen_fr_224,veronique_eng_38,marc_fr_212,SHAB,SHAEB,SHAB
veronique,maureen,Z_V,jeremy,EFE,IH,I,triplet77,A,veronique_eng_221,maureen_fr_106,jeremy_eng_232,ZIHV,ZIV,ZIHV
maureen,veronique,SH_B,remi,EFF,IH,Y,triplet78,B,maureen_eng_223,veronique_fr_90,remi_fr_89,SHIHB,SHYB,SHYB
maureen,veronique,SH_V,ewan,FEE,UH,Y,triplet79,B,veronique_fr_124,maureen_eng_32,ewan_eng_32,SHYV,SHUHV,SHUHV
maureen,veronique,Z_D,marc,FEF,UH,E,triplet80,A,veronique_fr_40,maureen_eng_5,marc_fr_35,ZED,ZUHD,ZED
veronique,maureen,V_B,ewan,EFE,IH,E,triplet81,A,veronique_eng_216,maureen_fr_52,ewan_eng_233,VIHB,VEB,VIHB
veronique,maureen,Z_F,marc,EFF,AH,O,triplet82,B,veronique_eng_104,maureen_fr_157,marc_fr_145,ZAHF,ZOF,ZOF
maureen,veronique,V_B,jeremy,FEE,AH,O,triplet83,B,veronique_fr_204,maureen_eng_77,jeremy_eng_75,VOB,VAHB,VAHB
maureen,veronique,V_B,remi,FEF,AH,OE,triplet84,A,veronique_fr_194,maureen_eng_77,remi_fr_192,VOEB,VAHB,VOEB
veronique,maureen,V_SH,jeremy,EFE,AE,U,triplet85,A,veronique_eng_60,maureen_fr_36,jeremy_eng_63,VAESH,VUSH,VAESH
maureen,veronique,V_P,marc,EFF,UH,E,triplet86,B,maureen_eng_14,veronique_fr_44,marc_fr_40,VUHP,VEP,VEP
veronique,maureen,V_Z,jeremy,FEE,AH,Y,triplet87,B,maureen_fr_129,veronique_eng_116,jeremy_eng_120,VYZ,VAHZ,VAHZ
maureen,veronique,S_G,remi,FEF,UH,I,triplet88,A,veronique_fr_71,maureen_eng_6,remi_fr_221,SIG,SUHG,SIG
maureen,veronique,V_K,jeremy,EFE,UH,O,triplet89,A,maureen_eng_15,veronique_fr_203,jeremy_eng_15,VUHK,VOK,VUHK
veronique,maureen,V_F,marc,EFF,AE,E,triplet90,B,veronique_eng_59,maureen_fr_68,marc_fr_60,VAEF,VEF,VEF
veronique,maureen,Z_V,ewan,FEE,AE,Y,triplet91,B,maureen_fr_119,veronique_eng_49,ewan_eng_53,ZYV,ZAEV,ZAEV
veronique,maureen,Z_B,marc,FEF,AH,E,triplet92,A,maureen_fr_39,veronique_eng_64,marc_fr_34,ZEB,ZAHB,ZEB
maureen,veronique,V_SH,jeremy,EFE,IH,Y,triplet93,A,maureen_eng_236,veronique_fr_128,jeremy_eng_238,VIHSH,VYSH,VIHSH
maureen,veronique,Z_D,marc,EFF,IH,I,triplet94,B,maureen_eng_216,veronique_fr_69,marc_fr_66,ZIHD,ZID,ZID
maureen,veronique,Z_SH,ewan,FEE,IH,O,triplet95,B,veronique_fr_150,maureen_eng_231,ewan_eng_237,ZOSH,ZIHSH,ZIHSH
veronique,maureen,V_SH,remi,FEF,AH,I,triplet96,A,maureen_fr_114,veronique_eng_101,remi_fr_109,VISH,VAHSH,VISH
veronique,maureen,V_P,jeremy,EFE,AE,O,triplet97,A,veronique_eng_40,maureen_fr_217,jeremy_eng_43,VAEP,VOP,VAEP
veronique,maureen,Z_S,marc,EFF,UH,Y,triplet98,B,veronique_eng_20,maureen_fr_116,marc_fr_107,ZUHS,ZYS,ZYS
veronique,maureen,Z_B,ewan,FEE,AE,I,triplet99,B,maureen_fr_73,veronique_eng_35,ewan_eng_38,ZIB,ZAEB,ZAEB
maureen,veronique,Z_G,marc,FEF,UH,A,triplet100,A,veronique_fr_207,maureen_eng_3,marc_fr_207,ZAG,ZUHG,ZAG
maureen,veronique,Z_V,ewan,EFE,AH,A,triplet101,A,maureen_eng_100,veronique_fr_164,ewan_eng_101,ZAHV,ZAV,ZAHV
maureen,veronique,V_B,marc,EFF,IH,O,triplet102,B,maureen_eng_227,veronique_fr_204,marc_fr_204,VIHB,VOB,VOB
veronique,maureen,Z_G,ewan,FEE,IH,A,triplet103,B,maureen_fr_219,veronique_eng_203,ewan_eng_220,ZAG,ZIHG,ZIHG
veronique,maureen,Z_V,marc,FEF,IH,U,triplet104,A,maureen_fr_23,veronique_eng_221,marc_fr_18,ZUV,ZIHV,ZUV
veronique,maureen,Z_D,jeremy,EFE,IH,O,triplet105,A,veronique_eng_205,maureen_fr_203,jeremy_eng_216,ZIHD,ZOD,ZIHD
maureen,veronique,Z_SH,remi,EFF,UH,OE,triplet106,B,maureen_eng_22,veronique_fr_133,remi_fr_132,ZUHSH,ZOESH,ZOESH
veronique,maureen,V_SH,ewan,FEE,UH,O,triplet107,B,maureen_fr_166,veronique_eng_33,ewan_eng_36,VOSH,VUHSH,VUHSH
maureen,veronique,V_G,remi,FEF,AE,Y,triplet108,A,veronique_fr_95,maureen_eng_45,remi_fr_94,VYG,VAEG,VYG
veronique,maureen,Z_SH,ewan,EFE,AE,A,triplet109,A,veronique_eng_48,maureen_fr_170,ewan_eng_52,ZAESH,ZASH,ZAESH
maureen,veronique,SH_S,remi,EFF,UH,I,triplet110,B,maureen_eng_31,veronique_fr_107,remi_fr_106,SHUHS,SHIS,SHIS
veronique,maureen,Z_S,ewan,FEE,IH,E,triplet111,B,maureen_fr_55,veronique_eng_218,ewan_eng_235,ZES,ZIHS,ZIHS
maureen,veronique,V_F,remi,FEF,AH,O,triplet112,A,veronique_fr_159,maureen_eng_121,remi_fr_158,VOF,VAHF,VOF
