orig_file,indexnumber,int_name,int_filename,speaker,vowel,context,language
stimuli/Jeremy_ABX_ENG_clean.wav,48,ZAEZ,jeremy_eng_48,jeremy,AE,Z_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,49,ZAES,jeremy_eng_49,jeremy,AE,Z_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,50,ZAEF,jeremy_eng_50,jeremy,AE,Z_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,51,ZAESH,jeremy_eng_51,jeremy,AE,Z_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,52,ZAEV,jeremy_eng_52,jeremy,AE,Z_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,53,SAEF,jeremy_eng_53,jeremy,AE,S_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,54,FAEZ,jeremy_eng_54,jeremy,AE,F_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,55,FAEF,jeremy_eng_55,jeremy,AE,F_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,56,FAESH,jeremy_eng_56,jeremy,AE,F_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,57,SHAES,jeremy_eng_57,jeremy,AE,SH_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,58,SHAESH,jeremy_eng_58,jeremy,AE,SH_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,59,SHAEV,jeremy_eng_59,jeremy,AE,SH_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,60,VAEZ,jeremy_eng_60,jeremy,AE,V_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,61,VAES,jeremy_eng_61,jeremy,AE,V_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,62,VAEF,jeremy_eng_62,jeremy,AE,V_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,63,VAESH,jeremy_eng_63,jeremy,AE,V_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,64,VAEV,jeremy_eng_64,jeremy,AE,V_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,65,ZAHT,jeremy_eng_65,jeremy,AH,Z_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,66,ZAHG,jeremy_eng_66,jeremy,AH,Z_G,eng
