"","AIC_nonnative","AIC_native","AIC_diff","K_number"
"1",12696.3246947287,12696.2086204433,0.116074285424475,"2"
"2",12696.1508425597,12695.1937364257,0.957106133924754,"5"
"3",12694.2385985133,12696.2650963892,-2.02649787596238,"10"
"4",12694.8437832074,12695.1419764817,-0.298193274233199,"100"
"5",12696.4032940604,12694.4614858515,1.9418082088996,"1000"
"6",12695.7572148771,12696.1286351013,-0.371420224171743,"6000"
"7",12695.7774987219,12694.2802579517,1.49724077029532,"500"
"8",12687.2788365446,12695.5470692551,-8.26823271051035,"DPGMM"
"9",12694.5355128459,12690.3187060967,4.21680674922027,"phone_num"
